contest_report_repo,contest_sponsor,contest_desc,start,end,prize_pool,handle,prize_money,total_reports,high_all,high_solo,med_all,med_solo,gas_all
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,JJeiwan,11616.7,4,2,1,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Bobface,4158.72,3,1,0,1,1,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Hhansfriese,3832.46,2,0,0,2,1,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,HHollaDieWaldfee,3222.01,5,1,0,3,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,0xalpharush,2846.97,1,0,0,1,1,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Hhihen,2687.43,2,2,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Uunforgiven,2603.35,5,1,0,3,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,HHE1M,2569.94,3,1,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Rrvierdiiev,2365.25,4,2,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Bbin2chen,2093.84,5,1,0,3,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Koolex,1330.41,1,1,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Ruhum,1330.41,1,1,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,rotcivegaf,1330.41,1,1,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,IIllIllI,866.64,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,RRaymondFam,748.3,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,RRolezn,748.3,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,0x52,476.06,3,0,0,2,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Yyixxas,460.0,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Aymen0909,437.99,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Lladboy233,417.12,2,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,0xSmartContract,394.79,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Cc3phas,394.45,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Franfran,387.25,2,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,BBreeje,353.85,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Bbrgltd,353.85,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,88olidity,287.37,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,___141345__,287.37,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Eevan,133.18,2,0,0,2,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,00xhacksmithh,84.48,2,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,noot,57.64,2,0,0,1,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Ggz627,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Aak1,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Wwait,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,SSaharDevep,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Llukris02,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Ttnevler,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,DDiana,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Iimare,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Sshark,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,SmartSek,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,0xAgro,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Cchrisdior4,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Secureverse,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,BBnke0x0,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Ooyc_109,43.54,1,0,0,0,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Rrjs,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,TomJ,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,MMukund,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Awesome,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Rrbitbytes,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,saneryee,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,eyexploit,40.94,1,0,0,0,0,1
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Tteawaterwire,33.4,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,ppoirots,33.4,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,KKingNFT,33.4,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Saintcode_,33.4,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,Sstealthyz,33.4,1,0,0,1,0,0
2022-12-backed,papr,NFT Lending Powered by Uniswap v3.,16 December 2022,21 December 2022,50000,fs0c,16.7,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,TTrust,18435.06,3,2,1,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,ppoirots,1134.22,2,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Ggasperpre,1039.44,2,0,0,2,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,IIllIllI,813.6,2,0,0,0,0,1
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Eevan,663.59,2,0,0,2,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,SmartSek,618.25,3,1,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Hhansfriese,572.54,2,1,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Oorion,553.32,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Cc3phas,525.16,1,0,0,0,0,1
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,99svR6w,481.1,3,1,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Nneko_nyaa,403.97,1,0,0,0,0,1
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Ddeliriusz,365.84,2,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,00xdeadbeef0x,365.84,2,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,codeislight,346.08,2,0,0,1,0,1
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,BBAHOZ,320.13,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Ttrustindistrust,320.13,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Madalad,155.98,2,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,AApocalypto,129.49,2,1,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Ssubtle77,110.27,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Wwagmi,110.27,1,0,0,1,0,0
,forgeries,A protocol for on-chain games with NFT prizes on Ethereum.,13 December 2022,16 December 2022,30000,Matin,110.27,1,0,0,1,0,0
