period,handle,is_team,prize_money,total_reports,high_all,high_solo,med_all,med_solo,gas_all
LAST 60 DAYS,xiaoming90,False,18760.33,9,5,1,3,0,0
LAST 60 DAYS,Jeiwan,False,17504.62,11,4,1,5,0,0
LAST 60 DAYS,bin2chen,False,12847.99,15,7,0,7,1,0
LAST 60 DAYS,unforgiven,False,10392.07,17,5,0,9,0,1
LAST 60 DAYS,hihen,False,8809.39,15,5,0,9,1,0
LAST 60 DAYS,csanuragjain,False,8225.62,8,0,0,6,2,0
LAST 60 DAYS,0x52,False,7998.48,12,3,0,7,0,0
LAST 60 DAYS,HE1M,False,7127.64,7,3,0,3,1,0
LAST 60 DAYS,hansfriese,False,6758.49,17,3,0,12,1,0
LAST 60 DAYS,rvierdiiev,False,6578.7,20,8,0,8,0,0
LAST 60 DAYS,ladboy233,False,5239.15,15,4,0,8,0,0
LAST 60 DAYS,HollaDieWaldfee,False,4752.64,12,3,0,7,0,0
LAST 60 DAYS,__141345__,False,4611.77,6,2,0,3,0,1
LAST 60 DAYS,0xSmartContract,False,4471.22,11,2,0,0,0,3
LAST 60 DAYS,ktg,False,4203.7,1,0,0,1,0,0
LAST 60 DAYS,Bobface,False,4158.72,3,1,0,1,1,0
LAST 60 DAYS,RaymondFam,False,4120.57,12,0,0,2,0,5
LAST 60 DAYS,ronnyx2017,False,4057.68,2,2,0,0,0,0
LAST 60 DAYS,aphak5010,False,3897.84,7,0,0,3,1,2
LAST 60 DAYS,0xdeadbeef0x,False,3785.67,3,0,0,3,1,0
LAST 60 DAYS,Ruhum,False,3453.37,7,4,0,3,0,0
LAST 60 DAYS,pauliax,False,3356.54,4,3,0,1,0,0
LAST 60 DAYS,cccz,False,3274.43,14,3,0,9,0,0
LAST 60 DAYS,stealthyz,False,2898.15,2,0,0,2,1,0
LAST 60 DAYS,0xalpharush,False,2846.97,1,0,0,1,1,0
LAST 60 DAYS,zaskoh,False,2464.21,6,1,0,3,0,1
LAST 60 DAYS,gzeon,False,2457.53,10,1,0,4,0,2
LAST 60 DAYS,AkshaySrivastav,False,2345.75,8,1,0,5,0,2
LAST 60 DAYS,sorrynotsorry,False,2198.75,2,1,0,1,1,0
LAST 60 DAYS,adriro,False,2109.76,12,2,0,5,0,3
LAST 60 DAYS,joestakey,False,2000.49,8,1,0,3,0,0
LAST 60 DAYS,Tricko,False,1984.45,4,2,0,0,0,2
LAST 60 DAYS,rotcivegaf,False,1980.74,4,1,0,0,0,1
LAST 60 DAYS,imare,False,1805.74,8,2,0,5,0,0
LAST 60 DAYS,Koolex,False,1774.59,4,2,0,2,0,0
LAST 60 DAYS,R2,False,1704.35,4,1,0,2,0,0
LAST 60 DAYS,Chom,False,1499.83,4,1,0,3,0,0
LAST 60 DAYS,KingNFT,False,1482.8,6,2,0,4,0,0
LAST 60 DAYS,deliriusz,False,1428.24,5,1,0,2,0,0
LAST 60 DAYS,Rolezn,False,1316.14,7,0,0,0,0,4
LAST 60 DAYS,enckrish,False,1309.61,1,0,0,1,0,0
LAST 60 DAYS,chaduke,False,1241.73,9,2,0,2,0,3
LAST 60 DAYS,Trust,False,1239.22,4,1,0,3,0,0
LAST 60 DAYS,kyteg,False,1238.16,1,0,0,1,0,0
LAST 60 DAYS,Josiah,False,1105.02,3,0,0,1,0,0
LAST 60 DAYS,brgltd,False,1085.88,2,0,0,0,0,0
LAST 60 DAYS,c3phas,False,1034.13,3,0,0,0,0,3
LAST 60 DAYS,cryptonue,False,946.38,7,1,0,2,0,2
LAST 60 DAYS,IllIllI,False,866.64,2,0,0,0,0,1
LAST 60 DAYS,8olidity,False,789.49,7,3,0,4,0,0
LAST 60 DAYS,0xfuje,False,763.19,2,0,0,0,0,0
LAST 60 DAYS,yixxas,False,662.09,7,1,0,3,0,0
LAST 60 DAYS,codeislight,False,658.15,2,0,0,0,0,1
LAST 60 DAYS,0xA5DF,False,656.69,5,1,0,3,0,0
LAST 60 DAYS,slvDev,False,640.51,4,1,0,1,0,1
LAST 60 DAYS,UUdarTeam,True,583.62,3,0,0,1,0,1
LAST 60 DAYS,0xTraub,False,583.62,3,0,0,1,0,1
LAST 60 DAYS,ak1,False,573.99,2,0,0,1,0,0
LAST 60 DAYS,eierina,False,554.95,2,0,0,1,0,0
LAST 60 DAYS,trustindistrust,False,524.62,2,0,0,1,0,0
LAST 60 DAYS,ReyAdmirado,False,511.53,4,0,0,0,0,4
LAST 60 DAYS,Aymen0909,False,492.0,5,1,0,0,0,2
LAST 60 DAYS,helios,False,480.31,1,0,0,0,0,0
LAST 60 DAYS,obront,False,477.56,8,1,0,5,0,0
LAST 60 DAYS,fs0c,False,468.66,5,2,0,3,0,0
LAST 60 DAYS,pfapostol,False,423.75,1,0,0,0,0,1
LAST 60 DAYS,0xNazgul,False,401.93,4,0,0,1,0,0
LAST 60 DAYS,Franfran,False,388.09,3,1,0,1,0,0
LAST 60 DAYS,Breeje,False,353.85,1,0,0,0,0,0
LAST 60 DAYS,neko_nyaa,False,338.92,1,0,0,0,0,1
LAST 60 DAYS,SmartSek,True,292.63,3,0,0,1,0,0
LAST 60 DAYS,pavankv,False,285.67,3,0,0,1,0,2
